id,carat,cut,color,clarity,depth,table,x,y,z,price
27,1.51,Very Good,E,I1,62.0,58.0,7.31,7.37,4.55,6139
28,0.76,Ideal,H,SI1,61.2,57.0,5.88,5.91,3.61,2765
29,1.21,Very Good,I,VS1,60.6,60.0,6.89,6.85,4.16,5726
30,0.74,Ideal,I,VS2,61.9,57.0,5.83,5.81,3.6,2374
31,0.32,Ideal,G,SI1,62.6,55.0,4.38,4.41,2.75,445
32,0.59,Ideal,E,VS2,61.4,58.0,5.38,5.4,3.31,1657
33,1.02,Premium,F,SI1,62.6,58.0,6.42,6.36,4.0,4455
34,2.01,Fair,J,VS2,64.9,60.0,7.82,7.78,5.06,13744
35,0.33,Ideal,F,VS2,62.6,55.0,4.42,4.4,2.76,854
36,0.91,Very Good,H,SI1,63.0,57.0,6.1,6.19,3.87,3087
37,0.43,Ideal,G,IF,61.2,57.0,4.81,4.86,2.96,1433
38,0.23,Ideal,F,VS1,61.9,56.0,3.94,3.96,2.44,493
39,0.52,Very Good,E,VS2,60.3,60.0,5.17,5.21,3.13,1689
40,0.3,Good,F,SI1,63.5,57.0,4.24,4.27,2.7,500
41,0.34,Ideal,D,VS1,60.7,57.0,4.51,4.55,2.75,749
42,2.0,Good,I,SI2,64.2,52.0,7.91,7.88,5.07,11400
43,1.7,Ideal,G,VS2,61.3,57.0,7.6,7.67,4.68,15797
44,0.33,Ideal,D,VS2,60.9,56.0,4.49,4.51,2.74,940
45,1.01,Very Good,E,VS2,60.4,57.0,6.45,6.49,3.91,6577
46,0.59,Ideal,E,SI1,62.9,57.0,5.36,5.33,3.36,1789
47,0.35,Ideal,E,VVS2,62.6,53.0,4.52,4.55,2.84,849
48,0.8,Ideal,F,SI2,59.9,59.0,6.01,6.07,3.62,2762
49,1.1,Premium,H,VS2,62.5,58.0,6.59,6.54,4.1,5729
50,1.1,Ideal,G,VS2,62.3,56.0,6.63,6.59,4.12,6387
51,0.33,Ideal,D,SI2,62.4,57.0,4.39,4.42,2.75,492
52,1.51,Fair,H,SI2,65.5,56.0,7.18,7.13,4.69,6816
53,0.4,Premium,F,VS1,62.6,58.0,4.72,4.68,2.94,1050
54,0.33,Premium,I,VS2,62.6,58.0,4.42,4.34,2.74,594
55,1.32,Premium,I,SI1,60.3,60.0,7.14,7.09,4.29,6653
56,0.54,Ideal,H,VVS1,61.7,57.0,5.23,5.24,3.23,1846
57,0.43,Ideal,G,IF,61.7,57.0,4.83,4.86,2.99,1286
58,0.42,Ideal,E,VVS2,62.3,55.0,4.76,4.81,2.98,1216
59,1.0,Very Good,E,VS1,62.3,53.0,6.35,6.39,3.97,7528
60,0.52,Very Good,D,VS1,62.6,59.0,5.03,5.13,3.18,1860
61,0.71,Ideal,H,SI1,61.1,57.0,5.71,5.75,3.5,2313
62,0.41,Premium,F,VS1,62.4,60.0,4.77,4.71,2.96,1076
63,0.51,Very Good,F,VS1,63.3,59.0,5.09,5.12,3.23,1722
64,0.35,Ideal,H,IF,61.7,56.0,4.55,4.53,2.8,984
65,0.26,Very Good,E,SI1,62.0,54.0,4.08,4.11,2.54,384
66,1.0,Good,F,SI2,57.3,61.0,6.64,6.59,3.79,4155
67,1.03,Ideal,G,SI1,60.3,58.0,6.57,6.62,3.98,5143
68,0.93,Very Good,D,SI2,60.6,59.0,6.3,6.34,3.83,4214
69,1.07,Premium,G,VS2,62.5,57.0,6.58,6.5,4.09,6644
70,0.32,Ideal,H,IF,61.4,55.0,4.42,4.47,2.73,814
71,0.32,Ideal,G,VVS1,62.1,54.0,4.4,4.43,2.74,802
72,2.0,Good,D,SI2,60.3,56.0,8.08,8.11,4.88,16425
73,0.7,Very Good,H,VS2,60.0,57.0,5.74,5.8,3.46,2335
74,0.4,Very Good,F,VS1,61.2,58.0,4.74,4.86,2.94,847
75,1.0,Premium,H,VS2,63.0,59.0,6.43,6.34,4.02,4791
76,0.7,Very Good,G,VVS2,63.3,59.0,5.59,5.62,3.55,2905
77,0.55,Very Good,D,VS2,60.4,59.0,5.29,5.34,3.21,1755
78,0.52,Good,E,SI1,63.7,54.0,5.12,5.15,3.27,1388
79,0.82,Ideal,H,SI1,62.5,57.0,5.91,5.97,3.71,2832
80,0.31,Ideal,E,SI2,61.3,55.0,4.37,4.34,2.67,558
81,0.33,Very Good,F,VVS2,61.2,55.0,4.45,4.47,2.73,801
82,2.28,Ideal,J,VS2,62.7,57.0,8.43,8.36,5.26,16450
83,0.54,Ideal,F,VVS2,62.1,54.0,5.24,5.26,3.26,2180
84,1.56,Ideal,H,SI1,62.4,54.0,7.48,7.43,4.65,10728
85,0.82,Ideal,I,VS1,61.3,57.0,6.02,6.07,3.7,3113
86,0.33,Ideal,H,VVS1,62.2,55.0,4.4,4.44,2.75,752
87,0.79,Ideal,D,SI1,61.3,54.0,5.96,6.01,3.67,3328
88,0.35,Ideal,H,IF,61.5,57.0,4.55,4.58,2.8,868
89,0.43,Very Good,E,SI1,63.4,56.0,4.82,4.8,3.05,894
90,1.24,Premium,F,SI1,61.6,59.0,6.9,6.86,4.24,7000
91,0.65,Ideal,E,SI1,61.8,55.0,5.57,5.6,3.45,1862
92,0.57,Premium,E,VS1,61.6,58.0,5.36,5.33,3.29,2753
93,2.02,Very Good,I,SI1,60.4,58.0,8.2,8.16,4.94,17357
94,0.63,Ideal,J,SI2,61.4,54.0,5.54,5.56,3.41,1065
95,0.9,Good,H,SI1,62.1,61.0,6.07,6.11,3.78,3447
96,1.1,Premium,H,SI1,61.6,56.0,6.66,6.61,4.09,4916
97,0.72,Ideal,I,VS2,61.4,56.0,5.77,5.83,3.56,3391
98,1.09,Ideal,H,SI1,62.3,55.0,6.58,6.62,4.11,5238
99,1.02,Premium,E,SI2,59.9,58.0,6.6,6.55,3.94,4478
100,0.34,Good,E,SI2,63.7,55.0,4.46,4.43,2.83,612
101,0.41,Very Good,F,SI1,63.1,59.0,4.75,4.7,2.98,904
102,0.7,Ideal,I,SI1,62.8,56.0,5.64,5.67,3.55,2287
103,1.06,Premium,F,SI1,61.9,59.0,6.57,6.52,4.05,4155
104,0.32,Premium,H,VS2,62.7,58.0,4.35,4.33,2.72,605
105,0.36,Ideal,I,VVS1,61.7,56.0,4.59,4.62,2.84,824
106,0.7,Ideal,G,VS1,61.3,59.0,5.68,5.7,3.49,2987
107,0.7,Good,E,VS2,61.5,61.0,5.64,5.74,3.5,2473
108,0.7,Very Good,F,VS2,61.6,60.0,5.63,5.71,3.49,2593
109,0.61,Very Good,I,SI1,63.4,55.0,5.39,5.43,3.43,1356
110,1.0,Ideal,H,SI1,60.3,56.0,6.54,6.52,3.94,4788
111,0.36,Premium,D,SI1,61.4,58.0,4.59,4.56,2.81,851
112,0.72,Ideal,E,SI2,61.9,55.0,5.76,5.78,3.57,2398
113,1.21,Ideal,G,VS1,62.7,54.0,6.79,6.83,4.27,8759
114,0.25,Premium,H,VVS1,62.7,60.0,4.03,3.98,2.51,577
115,1.45,Very Good,J,VS2,62.6,58.0,7.28,7.16,4.52,6980
116,0.7,Very Good,D,VS2,63.1,56.0,5.62,5.69,3.57,2985
117,0.4,Ideal,F,VS1,61.1,56.0,4.75,4.78,2.91,982
118,1.52,Ideal,I,SI2,60.2,57.0,7.47,7.38,4.47,7661
119,0.31,Premium,E,VVS1,62.0,59.0,4.3,4.34,2.68,789
120,0.33,Premium,I,VVS1,61.7,61.0,4.45,4.43,2.74,780
121,1.6,Very Good,G,VS2,61.0,57.0,7.55,7.59,4.62,14383
122,1.01,Premium,D,SI1,60.7,58.0,6.42,6.49,3.92,5599
123,0.56,Ideal,G,VVS2,61.0,57.0,5.32,5.36,3.26,2510
124,0.8,Very Good,J,VS1,63.4,56.0,5.9,5.87,3.73,2321
125,0.51,Very Good,D,VS1,63.1,58.0,5.05,5.1,3.2,1838
126,0.3,Premium,E,SI2,61.5,62.0,4.31,4.28,2.64,468
127,0.35,Premium,H,VVS2,61.9,58.0,4.5,4.54,2.8,706
128,1.01,Fair,E,VVS1,66.1,55.0,6.19,6.1,4.06,8529
129,1.05,Very Good,G,VVS2,59.8,60.0,6.54,6.61,3.93,7667
130,1.2,Very Good,I,SI1,62.8,57.0,6.7,6.74,4.22,5408
131,0.9,Very Good,H,SI2,62.8,57.0,6.15,6.2,3.88,3160
132,1.01,Ideal,D,SI2,62.0,57.0,6.42,6.38,3.97,4242
133,0.43,Very Good,G,VS1,60.9,57.0,4.88,4.91,2.98,943
134,0.52,Very Good,G,SI1,62.8,61.0,5.11,5.14,3.22,1244
135,0.72,Ideal,G,VS1,60.3,57.0,5.82,5.86,3.52,3478
136,1.31,Premium,H,VS2,59.6,58.0,7.14,7.08,4.24,6095
137,0.7,Premium,E,VS2,61.4,59.0,5.73,5.7,3.51,2858
138,1.51,Ideal,D,SI1,61.9,56.0,7.35,7.41,4.57,13588
139,1.11,Ideal,H,SI1,62.3,55.0,6.7,6.65,4.16,5456
140,0.77,Premium,J,SI1,61.8,59.0,5.82,5.86,3.61,1909
141,2.0,Premium,H,SI2,60.7,60.0,8.07,8.11,4.91,15312
142,1.51,Ideal,H,VS1,62.6,56.0,7.28,7.32,4.57,11580
143,0.31,Ideal,E,SI2,61.7,56.0,4.35,4.4,2.7,435
144,1.1,Ideal,G,VVS2,61.7,56.0,6.67,6.63,4.1,9148
145,1.01,Ideal,E,SI1,62.1,54.0,6.5,6.41,4.01,5599
146,0.59,Very Good,F,VS1,61.7,59.0,5.35,5.38,3.31,2034
147,0.72,Very Good,H,SI2,63.3,57.0,5.7,5.67,3.6,1698
148,0.7,Ideal,E,VS1,62.3,54.0,5.67,5.71,3.54,3345
149,0.71,Premium,D,SI1,61.0,61.0,5.82,5.75,3.53,2863
150,0.32,Ideal,D,VS2,61.0,57.0,4.42,4.46,2.71,758
151,0.38,Ideal,E,VS1,61.9,55.2,4.62,4.65,2.87,979
152,0.31,Premium,G,VS1,62.1,58.0,4.31,4.35,2.69,625
153,0.63,Very Good,D,SI1,62.8,57.0,5.46,5.49,3.44,1939
154,2.01,Premium,I,VS1,61.5,62.0,8.07,7.94,4.92,15475
155,1.13,Premium,G,VS1,60.0,60.0,6.87,6.72,4.08,7404
156,0.33,Premium,E,VS2,61.7,60.0,4.4,4.45,2.73,723
157,0.33,Ideal,F,VVS2,61.9,56.0,4.42,4.46,2.75,810
158,0.7,Ideal,I,SI1,61.6,56.0,5.69,5.71,3.51,2623
159,1.51,Premium,I,SI2,61.3,55.0,7.41,7.36,4.53,6173
160,0.9,Very Good,E,SI2,60.7,61.0,6.16,6.22,3.76,3139
161,0.57,Premium,F,VS2,60.4,60.0,5.36,5.31,3.22,1760
162,1.53,Premium,I,VS1,61.2,59.0,7.41,7.39,4.53,10282
163,0.31,Ideal,G,VVS1,62.1,55.0,4.34,4.39,2.71,789
164,1.01,Fair,G,VS1,64.6,60.0,6.34,6.22,4.06,6353
165,2.31,Premium,I,SI2,62.9,58.0,8.43,8.34,5.27,17218
166,0.32,Ideal,G,IF,62.0,54.0,4.42,4.45,2.75,918
167,2.01,Ideal,H,SI1,60.6,57.0,8.19,8.09,4.92,17383
168,1.11,Very Good,G,SI1,60.7,59.0,6.6,6.65,4.02,8184
169,1.61,Ideal,H,VS2,61.8,56.0,7.48,7.52,4.63,13873
170,1.51,Good,I,SI1,62.5,57.0,7.25,7.32,4.55,8242
171,0.59,Ideal,F,SI2,60.1,57.0,5.45,5.49,3.29,1371
172,1.2,Very Good,I,VS2,61.7,59.0,6.83,6.88,4.23,5884
173,1.75,Ideal,I,VS2,61.6,55.0,7.72,7.77,4.77,12531
174,0.33,Ideal,G,VS1,61.9,55.0,4.44,4.41,2.74,854
175,1.02,Ideal,E,SI2,62.6,54.6,6.4,6.44,4.02,4983
176,1.18,Ideal,D,SI1,61.9,55.0,6.8,6.76,4.2,7216
177,0.32,Premium,D,VS2,60.3,60.0,4.42,4.44,2.67,758
178,0.43,Ideal,E,VS2,62.2,57.0,4.8,4.84,3.0,981
179,1.09,Premium,D,SI2,62.8,56.0,6.49,6.45,4.06,4538
180,0.3,Very Good,E,SI2,61.6,61.0,4.25,4.29,2.63,421
181,0.64,Ideal,G,SI1,61.6,55.0,5.55,5.59,3.43,1737
182,1.21,Very Good,H,VS2,60.1,57.0,6.88,6.97,4.16,6887
183,1.12,Ideal,G,VS1,62.3,57.0,6.59,6.64,4.12,6918
184,0.32,Premium,H,VS2,61.7,59.0,4.4,4.35,2.7,648
185,0.31,Ideal,D,SI1,61.8,57.0,4.37,4.33,2.69,684
186,0.57,Ideal,H,VS2,60.2,59.0,5.35,5.38,3.23,1573
187,0.32,Ideal,E,VS2,62.9,56.0,4.39,4.36,2.75,900
188,0.42,Very Good,H,VS2,62.1,54.0,4.81,4.84,2.99,755
189,1.52,Premium,G,VS1,61.4,58.0,7.38,7.35,4.52,13034
190,1.22,Very Good,H,SI2,63.1,59.0,6.81,6.75,4.28,5192
191,1.09,Ideal,D,VS1,62.3,56.0,6.63,6.59,4.12,9650
192,0.51,Ideal,D,VS2,60.9,56.0,5.19,5.16,3.15,1882
193,2.02,Ideal,H,SI2,62.7,57.0,8.05,8.0,5.03,15785
194,0.31,Ideal,G,VVS2,61.7,57.0,4.36,4.39,2.7,671
195,0.43,Premium,G,VS2,61.2,58.0,4.9,4.84,2.98,1113
196,0.9,Ideal,F,SI1,61.5,56.0,6.25,6.2,3.83,4284
197,1.04,Premium,H,VS2,62.7,61.0,6.48,6.44,4.05,5416
198,1.76,Premium,J,VS1,62.0,58.0,7.74,7.7,4.79,11177
199,1.25,Very Good,G,VS1,60.7,56.0,6.93,7.01,4.23,9116
200,1.22,Premium,G,SI1,63.0,57.0,6.84,6.74,4.28,6695
201,0.9,Very Good,D,SI1,62.8,59.0,6.14,6.18,3.87,4693
202,1.17,Very Good,G,SI2,61.2,58.0,6.84,6.86,4.19,5595
203,1.71,Premium,H,VS1,58.1,62.0,8.02,7.84,4.61,11161
204,0.3,Ideal,E,VS1,61.9,58.0,4.27,4.29,2.65,694
205,1.04,Premium,G,VS2,62.3,54.0,6.55,6.49,4.06,6206
206,1.6,Ideal,J,SI1,62.8,55.0,7.48,7.42,4.68,8418
207,0.41,Premium,G,VS1,62.6,58.0,4.75,4.7,2.96,961
208,0.33,Very Good,G,VS2,61.1,59.0,4.43,4.47,2.72,579
209,1.14,Very Good,J,VS1,60.0,60.0,6.76,6.81,4.07,4702
210,0.37,Ideal,D,VVS1,62.0,56.0,4.6,4.59,2.85,1292
211,0.54,Ideal,D,VS2,61.1,57.0,5.25,5.22,3.2,1993
212,0.51,Ideal,D,SI1,61.8,55.0,5.14,5.18,3.19,1569
213,1.03,Ideal,F,I1,61.1,55.0,6.54,6.51,3.99,3507
214,0.25,Ideal,H,VS1,62.6,53.0,4.04,4.08,2.54,445
215,1.27,Very Good,J,VS1,63.4,60.0,6.85,6.8,4.33,5690
216,1.51,Ideal,G,SI2,60.5,55.0,7.4,7.36,4.46,8794
217,1.21,Very Good,I,VS2,63.4,57.0,6.79,6.72,4.28,5387
218,0.48,Ideal,F,IF,62.0,54.0,5.0,5.05,3.11,2059
219,0.4,Ideal,E,VVS2,62.2,56.0,4.78,4.71,2.95,1238
220,0.4,Very Good,F,SI1,63.3,58.0,4.72,4.69,2.98,882
221,0.32,Ideal,D,VS2,61.7,57.0,4.39,4.36,2.7,972
222,0.33,Very Good,H,IF,61.7,55.0,4.45,4.48,2.75,795
223,1.44,Very Good,E,I1,61.1,62.0,7.15,7.23,4.39,5068
224,0.54,Very Good,I,SI2,62.9,57.0,5.18,5.21,3.27,1105
225,0.23,Very Good,E,VVS1,60.8,56.0,3.94,3.99,2.41,499
226,0.52,Very Good,E,SI2,62.7,56.0,5.07,5.1,3.19,1173
227,0.3,Premium,F,VVS2,61.4,59.0,4.36,4.31,2.66,945
228,0.73,Premium,E,VS2,62.0,60.0,5.76,5.73,3.56,2902
229,1.05,Good,H,SI1,63.1,60.0,6.42,6.49,4.07,4608
230,0.51,Very Good,F,VS2,63.1,58.0,5.11,5.09,3.22,1574
231,1.13,Premium,H,VS2,62.8,59.0,6.63,6.58,4.15,5571
232,1.5,Very Good,G,VS1,61.7,63.0,7.31,7.24,4.49,12862
233,2.01,Very Good,H,SI1,60.1,60.0,8.25,8.2,4.94,17476
234,0.93,Good,D,SI1,63.8,59.0,6.21,6.15,3.94,3812
235,1.01,Very Good,J,SI1,61.3,57.0,6.45,6.5,3.97,4153
236,1.7,Good,H,VS2,63.3,57.0,7.54,7.59,4.79,12117
237,0.71,Ideal,J,VS2,61.5,59.0,5.71,5.74,3.52,2047
238,1.12,Premium,G,VVS2,62.6,59.0,6.61,6.58,4.13,8721
239,1.29,Premium,G,VS2,58.7,58.0,7.27,7.11,4.22,8842
240,0.63,Premium,H,VS1,62.9,60.0,5.45,5.33,3.39,1921
241,1.23,Premium,H,VS1,61.1,58.0,6.91,6.86,4.21,7577
242,0.32,Ideal,D,VVS1,61.9,56.0,4.39,4.36,2.71,1140
243,0.41,Premium,I,VVS2,62.9,58.0,4.74,4.71,2.97,1061
244,0.53,Ideal,F,SI1,62.4,57.0,5.18,5.21,3.24,1268
245,2.0,Premium,H,SI2,62.8,57.0,8.05,8.01,5.04,11975
246,0.41,Ideal,F,VS2,62.6,57.0,4.79,4.76,2.99,1107
247,1.04,Fair,E,SI2,67.5,56.0,6.28,6.22,4.22,4566
248,0.71,Ideal,F,VS1,62.7,57.0,5.66,5.7,3.56,3041
249,0.41,Very Good,E,SI1,62.9,56.0,4.72,4.76,2.98,755
250,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,2370
251,1.2,Ideal,G,SI2,58.9,60.0,6.98,6.94,4.1,5562
252,0.37,Very Good,E,VVS2,61.2,55.0,4.63,4.68,2.85,779
253,0.76,Very Good,F,VVS1,59.6,58.0,5.91,5.96,3.54,4504
254,0.34,Ideal,H,IF,61.6,55.0,4.51,4.55,2.78,844
255,1.19,Premium,J,SI1,63.0,54.0,6.82,6.74,4.27,4498
256,1.22,Very Good,H,I1,61.6,56.0,6.8,6.87,4.21,3663
257,0.74,Very Good,I,SI1,63.8,58.0,5.72,5.76,3.66,2352
258,1.0,Premium,E,SI2,62.0,59.0,6.43,6.3,3.95,4077
259,0.42,Ideal,G,VVS2,62.4,55.0,4.79,4.82,3.0,1031
260,2.0,Fair,F,SI2,70.2,57.0,7.63,7.59,5.34,15351
261,0.5,Very Good,E,VS2,61.5,56.0,5.07,5.11,3.13,1624
262,1.33,Good,I,VS1,63.7,56.0,6.96,6.92,4.42,7090
263,0.27,Ideal,E,VVS2,62.0,55.0,4.12,4.14,2.56,622
264,1.2,Very Good,G,SI1,62.8,57.0,6.68,6.73,4.21,6526
265,0.91,Very Good,F,SI1,60.4,59.0,6.22,6.26,3.77,4437
266,0.3,Ideal,I,VS1,62.4,54.0,4.3,4.32,2.69,491
267,0.7,Premium,F,VS1,60.8,62.0,5.71,5.67,3.46,2874
268,0.71,Very Good,D,SI1,60.1,60.0,5.76,5.79,3.47,2921
269,0.9,Premium,G,VS2,61.1,58.0,6.22,6.25,3.81,4152
270,0.7,Premium,F,SI2,59.8,56.0,5.78,5.73,3.44,2184
271,1.05,Ideal,F,VVS1,62.7,57.0,6.5,6.41,4.05,9784
272,0.7,Ideal,D,VS2,61.4,55.0,5.71,5.75,3.52,3360
273,1.54,Ideal,G,VVS2,62.0,54.0,7.36,7.43,4.59,15415
274,0.62,Very Good,D,VVS2,58.1,63.0,5.59,5.66,3.27,3050
275,0.33,Ideal,G,VS1,62.3,57.0,4.38,4.42,2.74,666
276,1.22,Very Good,F,SI1,63.1,58.0,6.8,6.74,4.27,6530
277,1.01,Good,G,SI1,63.6,57.0,6.37,6.33,4.04,4672
278,0.7,Ideal,G,VVS1,61.9,58.0,5.67,5.74,3.53,3354
279,0.33,Premium,E,SI1,62.2,59.0,4.41,4.43,2.75,579
280,0.5,Premium,G,VS1,59.8,58.0,5.19,5.15,3.09,1746
281,0.7,Very Good,G,VS1,62.8,58.0,5.62,5.68,3.55,2613
282,0.34,Ideal,G,IF,61.6,56.0,4.51,4.48,2.77,1084
283,0.51,Premium,D,SI1,61.6,58.0,5.12,5.14,3.16,1569
284,1.51,Fair,G,SI1,65.0,59.0,6.99,7.07,4.57,8681
285,1.09,Ideal,E,VVS2,61.6,56.0,6.6,6.64,4.08,10314
286,0.54,Premium,F,VS2,58.2,60.0,5.39,5.34,3.12,1667
287,1.41,Very Good,H,SI2,58.5,57.0,7.36,7.44,4.33,7339
288,1.01,Good,F,SI1,64.1,60.0,6.21,6.16,3.97,4276
289,1.0,Very Good,G,VS2,61.1,55.0,6.44,6.5,3.95,7743
290,0.72,Ideal,E,SI1,60.8,55.0,5.77,5.84,3.53,2869
291,1.03,Premium,H,VS2,60.9,58.0,6.55,6.48,3.97,5364
292,0.53,Ideal,H,SI2,61.9,54.0,5.21,5.23,3.23,1020
293,1.02,Very Good,H,VS2,63.3,55.0,6.4,6.33,4.03,4604
294,1.5,Premium,H,SI2,61.5,58.0,7.38,7.32,4.52,6132
295,0.79,Ideal,D,SI1,61.1,57.0,5.94,6.0,3.65,3209
296,1.5,Very Good,D,VS1,61.2,63.0,7.28,7.32,4.47,16407
297,0.56,Ideal,E,VS2,60.9,56.0,5.32,5.35,3.25,1819
298,1.52,Very Good,G,SI2,60.9,57.0,7.44,7.5,4.55,8151
299,0.33,Premium,G,VVS1,61.5,59.0,4.42,4.46,2.73,810
300,2.0,Very Good,I,SI2,63.7,61.0,7.85,7.97,5.04,12221
301,1.23,Ideal,F,VVS2,61.8,56.0,6.89,6.84,4.24,11141
302,0.9,Ideal,G,SI2,62.7,53.0,6.18,6.22,3.89,3805
303,0.34,Very Good,I,SI1,61.8,57.0,4.46,4.51,2.77,447
304,0.26,Ideal,D,VVS2,62.5,56.0,4.11,4.08,2.56,769
305,0.79,Good,I,VS2,58.5,62.0,5.99,6.04,3.52,2451
306,0.72,Premium,J,VS2,60.2,59.0,5.85,5.81,3.51,1944
307,1.0,Premium,F,SI1,62.3,59.0,6.44,6.36,3.99,5221
308,0.41,Ideal,G,VS2,61.4,59.0,4.78,4.76,2.93,1042
309,0.7,Premium,D,VS1,61.2,60.0,5.69,5.71,3.49,3425
310,0.42,Ideal,E,VVS1,62.0,56.0,4.78,4.84,2.98,1400
311,0.25,Ideal,G,VS1,62.3,54.0,4.05,4.11,2.54,438
312,1.33,Ideal,J,SI1,62.4,54.0,7.04,7.07,4.4,5857
313,0.82,Premium,E,SI2,60.8,60.0,6.05,6.03,3.67,2824
314,0.33,Ideal,G,VVS1,61.7,55.0,4.48,4.5,2.77,838
315,1.43,Very Good,H,SI1,61.7,59.0,7.23,7.29,4.48,8654
316,0.33,Premium,I,VVS2,62.2,59.0,4.47,4.41,2.76,743
317,0.7,Very Good,F,VS2,61.2,56.0,5.72,5.78,3.52,2400
318,0.54,Ideal,H,SI1,61.1,56.0,5.25,5.27,3.21,1268
319,1.52,Good,J,VS2,63.1,61.0,7.19,7.23,4.55,6982
320,0.5,Premium,D,SI1,62.2,58.0,5.08,5.12,3.17,1272
321,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,3977
322,1.53,Ideal,F,SI1,60.3,57.0,7.52,7.45,4.51,11820
323,1.35,Ideal,J,VS1,62.3,54.0,7.17,7.06,4.43,6048
324,0.3,Premium,E,VVS2,61.4,60.0,4.28,4.25,2.62,1013
325,0.36,Ideal,H,SI1,62.4,53.0,4.58,4.59,2.86,538
326,0.7,Premium,D,SI2,60.4,60.0,5.79,5.74,3.48,2596
327,0.29,Ideal,G,VVS2,61.9,56.0,4.24,4.25,2.62,607
328,1.51,Very Good,H,VS2,63.2,57.0,7.18,7.32,4.58,10950
329,0.31,Ideal,D,SI1,62.5,53.0,4.37,4.34,2.72,684
330,0.7,Premium,F,VS2,60.5,58.0,5.78,5.76,3.49,2648
331,0.62,Good,F,VVS2,59.9,62.0,5.51,5.53,3.3,2131
332,1.29,Premium,I,VS1,63.0,57.0,6.99,6.89,4.37,6877
333,1.01,Premium,H,SI2,63.0,59.0,6.33,6.27,3.97,3671
334,0.41,Good,G,I1,63.8,56.0,4.7,4.74,3.01,467
335,0.32,Ideal,H,VS1,62.7,56.0,4.39,4.42,2.76,524
336,1.04,Ideal,I,SI1,61.7,57.0,6.49,6.54,4.02,4344
337,1.06,Ideal,H,SI2,59.9,58.0,6.67,6.63,3.98,4749
338,0.76,Very Good,H,SI1,62.6,58.0,5.76,5.84,3.63,2396
339,0.82,Premium,H,SI2,59.5,62.0,6.13,6.07,3.63,2499
340,1.32,Very Good,J,VS2,62.1,57.0,7.01,7.04,4.36,6079
341,1.84,Premium,H,SI2,61.0,58.0,7.97,7.87,4.81,7922
342,0.41,Ideal,G,VVS1,62.0,56.0,4.8,4.78,2.97,1230
343,1.01,Good,D,VS2,63.1,60.0,6.35,6.39,4.02,6999
344,0.73,Premium,F,SI1,61.9,60.0,5.81,5.78,3.59,2527
345,0.7,Ideal,D,SI1,61.2,54.0,5.79,5.75,3.53,2310
346,0.5,Good,E,VS2,63.3,64.0,4.98,5.0,3.16,1348
347,3.51,Premium,J,VS2,62.5,59.0,9.66,9.63,6.03,18701
348,0.59,Very Good,E,VS2,60.8,57.0,5.37,5.42,3.28,2068
349,1.51,Very Good,E,SI1,62.8,59.0,7.26,7.3,4.57,11460
350,0.32,Ideal,G,VVS2,62.1,54.0,4.4,4.42,2.74,708
351,0.34,Ideal,D,VS1,62.6,56.0,4.52,4.49,2.82,961
352,0.62,Premium,E,SI2,61.1,59.0,5.51,5.46,3.35,1579
